audio_relpath,transcript,label,score,speaker,synthesis
wav\good_0022.wav,现在你辛苦了先休息一下行吗,good,0.152,voice-3,windows-system-tts
wav\neutral_0008.wav,麻烦你我知道了行吗,neutral,0.577,voice-4,windows-system-tts
wav\good_0028.wav,没关系我们一起想办法好吗,good,0.28,voice-4,windows-system-tts
wav\neutral_0021.wav,真的我知道了行吗,neutral,0.513,voice-2,windows-system-tts
wav\neutral_0006.wav,请我现在在客厅!!,neutral,0.549,voice-2,windows-system-tts
wav\neutral_0017.wav,这件事晚点处理行吗,neutral,0.47,voice-3,windows-system-tts
wav\neutral_0011.wav,真的等一下再说。,neutral,0.56,voice-2,windows-system-tts
wav\bad_0012.wav,现在快点别废话,bad,0.969,voice-3,windows-system-tts
wav\good_0002.wav,没关系我们一起想办法,good,0.078,voice-3,windows-system-tts
wav\good_0016.wav,真的没关系我们一起想办法行吗,good,0.188,voice-2,windows-system-tts
wav\bad_0020.wav,拜托快点别废话。,bad,0.713,voice-1,windows-system-tts
wav\good_0010.wav,请我们慢慢说，我在听,good,0.164,voice-1,windows-system-tts
wav\bad_0021.wav,拜托为什么总是你！,bad,0.784,voice-2,windows-system-tts
wav\good_0006.wav,真的我们慢慢说，我在听,good,0.158,voice-2,windows-system-tts
wav\bad_0009.wav,现在我现在很生气。,bad,0.91,voice-5,windows-system-tts
wav\neutral_0012.wav,这件事晚点处理,neutral,0.524,voice-3,windows-system-tts
wav\good_0025.wav,拜托你辛苦了先休息一下。,good,0.096,voice-1,windows-system-tts
wav\neutral_0023.wav,请我现在在客厅行吗,neutral,0.523,voice-4,windows-system-tts
wav\bad_0003.wav,拜托闭嘴我受够了行吗,bad,0.791,voice-4,windows-system-tts
wav\bad_0024.wav,现在你怎么又这样好吗,bad,0.869,voice-5,windows-system-tts
wav\good_0007.wav,先冷静一下再聊行吗,good,0.188,voice-3,windows-system-tts
wav\good_0019.wav,没关系我们一起想办法,good,0.308,voice-5,windows-system-tts
wav\good_0027.wav,现在先冷静一下再聊。,good,0.067,voice-3,windows-system-tts
wav\good_0023.wav,真的谢谢你今天的帮助,good,0.336,voice-4,windows-system-tts
wav\bad_0026.wav,你怎么又这样。,bad,0.975,voice-2,windows-system-tts
wav\neutral_0007.wav,麻烦你我知道了!!,neutral,0.477,voice-3,windows-system-tts
wav\good_0012.wav,拜托我们慢慢说，我在听行吗,good,0.101,voice-3,windows-system-tts
wav\bad_0015.wav,拜托你怎么又这样!!,bad,0.764,voice-1,windows-system-tts
wav\neutral_0018.wav,拜托我现在在客厅好吗,neutral,0.445,voice-4,windows-system-tts
wav\good_0011.wav,请先冷静一下再聊！,good,0.157,voice-2,windows-system-tts
wav\neutral_0002.wav,现在我知道了,neutral,0.514,voice-3,windows-system-tts
wav\good_0000.wav,我们慢慢说，我在听行吗,good,0.133,voice-1,windows-system-tts
wav\bad_0005.wav,请为什么总是你!!,bad,0.692,voice-1,windows-system-tts
wav\bad_0017.wav,麻烦你你怎么又这样!!,bad,0.651,voice-3,windows-system-tts
wav\good_0001.wav,麻烦你我们慢慢说，我在听行吗,good,0.318,voice-2,windows-system-tts
wav\neutral_0020.wav,拜托我知道了。,neutral,0.513,voice-1,windows-system-tts
wav\neutral_0009.wav,麻烦你我现在在客厅！,neutral,0.548,voice-5,windows-system-tts
wav\neutral_0016.wav,请我现在在客厅。,neutral,0.467,voice-2,windows-system-tts
wav\good_0003.wav,你辛苦了先休息一下好吗,good,0.11,voice-4,windows-system-tts
wav\neutral_0013.wav,请我知道了。,neutral,0.485,voice-4,windows-system-tts
wav\good_0029.wav,请你辛苦了先休息一下！,good,0.208,voice-5,windows-system-tts
wav\neutral_0025.wav,拜托我知道了。,neutral,0.501,voice-1,windows-system-tts
wav\bad_0022.wav,请快点别废话!!,bad,0.909,voice-3,windows-system-tts
wav\neutral_0019.wav,今天晚饭吃什么好吗,neutral,0.431,voice-5,windows-system-tts
wav\good_0026.wav,你辛苦了先休息一下好吗,good,0.147,voice-2,windows-system-tts
wav\bad_0023.wav,真的闭嘴我受够了行吗,bad,0.721,voice-4,windows-system-tts
wav\good_0013.wav,真的没关系我们一起想办法！,good,0.347,voice-4,windows-system-tts
wav\bad_0001.wav,现在闭嘴我受够了,bad,0.68,voice-2,windows-system-tts
wav\neutral_0022.wav,请等一下再说行吗,neutral,0.535,voice-3,windows-system-tts
wav\neutral_0014.wav,我现在在客厅。,neutral,0.481,voice-5,windows-system-tts
wav\good_0024.wav,拜托谢谢你今天的帮助,good,0.311,voice-5,windows-system-tts
wav\good_0014.wav,请我们慢慢说，我在听,good,0.292,voice-5,windows-system-tts
wav\good_0009.wav,麻烦你谢谢你今天的帮助,good,0.064,voice-5,windows-system-tts
wav\good_0008.wav,拜托我们慢慢说，我在听！,good,0.299,voice-4,windows-system-tts
wav\good_0005.wav,现在没关系我们一起想办法！,good,0.097,voice-1,windows-system-tts
wav\neutral_0004.wav,我知道了！,neutral,0.431,voice-5,windows-system-tts
wav\bad_0013.wav,真的为什么总是你行吗,bad,0.974,voice-4,windows-system-tts
wav\good_0021.wav,真的你辛苦了先休息一下好吗,good,0.125,voice-2,windows-system-tts
wav\bad_0025.wav,麻烦你我现在很生气！,bad,0.724,voice-1,windows-system-tts
wav\bad_0027.wav,麻烦你闭嘴我受够了好吗,bad,0.714,voice-3,windows-system-tts
wav\good_0018.wav,现在没关系我们一起想办法。,good,0.349,voice-4,windows-system-tts
wav\neutral_0015.wav,现在我现在在客厅!!,neutral,0.531,voice-1,windows-system-tts
wav\good_0004.wav,拜托没关系我们一起想办法！,good,0.293,voice-5,windows-system-tts
wav\bad_0019.wav,拜托快点别废话！,bad,0.87,voice-5,windows-system-tts
wav\bad_0008.wav,真的我现在很生气,bad,0.709,voice-4,windows-system-tts
wav\neutral_0000.wav,麻烦你这件事晚点处理行吗,neutral,0.452,voice-1,windows-system-tts
